dt,dt_iso,city_id,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_24h,rain_today,snow_1h,snow_3h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon,is_duplicate
1451606400,2016-01-01 00:00:00 +0000 UTC,2964574,275.15,275.15,275.15,1015,80,4,200,,,,,,,,,40,802,Clouds,scattered clouds,03n,False
1451613600,2016-01-01 02:00:00 +0000 UTC,2964574,274.15,274.15,274.15,1016,80,2,170,,,,,,,,,40,802,Clouds,scattered clouds,03n,False
1451620800,2016-01-01 04:00:00 +0000 UTC,2964574,276.15,276.15,276.15,1015,69,3,130,,,,,,,,,40,802,Clouds,scattered clouds,03n,False
1451628000,2016-01-01 06:00:00 +0000 UTC,2964574,277.09,277.04,277.15,1014,69,4,150,,,,,,,,,40,802,Clouds,scattered clouds,03n,False
1451631600,2016-01-01 07:00:00 +0000 UTC,2964574,277.09,277.04,277.15,1013,100,3,150,,,,,,,,,75,803,Clouds,broken clouds,04n,False
1451635200,2016-01-01 08:00:00 +0000 UTC,2964574,277.67,277.15,278.15,1013,80,2,120,,,,,,,,,75,803,Clouds,broken clouds,04d,False
1451642400,2016-01-01 10:00:00 +0000 UTC,2964574,281.03,280.93,281.15,1011,75,11,140,,,,,,,,,75,803,Clouds,broken clouds,04d,False
1451646000,2016-01-01 11:00:00 +0000 UTC,2964574,281.04,280.93,281.15,1010,75,11,140,,,,,,,,,75,803,Clouds,broken clouds,04d,False
1451649600,2016-01-01 12:00:00 +0000 UTC,2964574,281.15,281.15,281.15,1008,75,13,140,,,,,,,,,75,803,Clouds,broken clouds,04d,False
1451653200,2016-01-01 13:00:00 +0000 UTC,2964574,280.15,280.15,280.15,1007,87,12,130,,,,,,,,,75,500,Rain,light rain,10d,False
1451656800,2016-01-01 14:00:00 +0000 UTC,2964574,280.15,280.15,280.15,1004,93,12,130,,,,,,,,,75,500,Rain,light rain,10d,False
1451660400,2016-01-01 15:00:00 +0000 UTC,2964574,280.15,280.15,280.15,1003,93,12,130,,,,,,,,,75,500,Rain,light rain,10d,False
