id,46A
0,temp
1,clouds_all
2,wind_speed
3,wind_deg
4,pressure
5,humidity
6,end_stop_81
7,end_stop_264
8,end_stop_334
9,end_stop_406
10,end_stop_435
11,end_stop_747
12,end_stop_756
13,end_stop_757
14,end_stop_758
15,end_stop_759
16,end_stop_760
17,end_stop_761
18,end_stop_762
19,end_stop_763
20,end_stop_808
21,end_stop_809
22,end_stop_810
23,end_stop_811
24,end_stop_812
25,end_stop_813
26,end_stop_814
27,end_stop_817
28,end_stop_818
29,end_stop_819
30,end_stop_842
31,end_stop_845
32,end_stop_846
33,end_stop_847
34,end_stop_848
35,end_stop_2007
36,end_stop_2008
37,end_stop_2009
38,end_stop_2010
39,end_stop_2013
40,end_stop_2014
41,end_stop_2015
42,end_stop_2016
43,end_stop_2017
44,end_stop_2018
45,end_stop_2019
46,end_stop_2020
47,end_stop_2021
48,end_stop_2022
49,end_stop_2031
50,end_stop_2032
51,end_stop_2033
52,end_stop_2034
53,end_stop_2035
54,end_stop_2036
55,end_stop_2039
56,end_stop_2795
57,end_stop_4565
58,end_stop_4566
59,end_stop_4567
60,end_stop_4571
61,end_stop_4636
62,end_stop_6059
63,end_stop_7353
64,start_stop_81
65,start_stop_264
66,start_stop_334
67,start_stop_406
68,start_stop_435
69,start_stop_747
70,start_stop_756
71,start_stop_757
72,start_stop_758
73,start_stop_759
74,start_stop_760
75,start_stop_761
76,start_stop_762
77,start_stop_763
78,start_stop_807
79,start_stop_808
80,start_stop_809
81,start_stop_810
82,start_stop_811
83,start_stop_812
84,start_stop_813
85,start_stop_814
86,start_stop_817
87,start_stop_818
88,start_stop_819
89,start_stop_842
90,start_stop_845
91,start_stop_846
92,start_stop_847
93,start_stop_848
94,start_stop_2007
95,start_stop_2008
96,start_stop_2009
97,start_stop_2010
98,start_stop_2013
99,start_stop_2014
100,start_stop_2015
101,start_stop_2016
102,start_stop_2017
103,start_stop_2018
104,start_stop_2019
105,start_stop_2020
106,start_stop_2021
107,start_stop_2022
108,start_stop_2031
109,start_stop_2032
110,start_stop_2033
111,start_stop_2034
112,start_stop_2035
113,start_stop_2036
114,start_stop_2795
115,start_stop_4565
116,start_stop_4566
117,start_stop_4567
118,start_stop_4571
119,start_stop_4636
120,start_stop_6059
121,start_stop_7353
122,dayofweek_0
123,dayofweek_1
124,dayofweek_2
125,dayofweek_3
126,dayofweek_4
127,dayofweek_5
128,dayofweek_6
129,arrivetime_12
130,arrivetime_13
131,arrivetime_14
132,arrivetime_15
133,arrivetime_16
134,arrivetime_17
135,arrivetime_18
136,arrivetime_19
137,arrivetime_20
138,arrivetime_21
139,arrivetime_22
140,arrivetime_23
141,arrivetime_24
142,arrivetime_25
143,arrivetime_26
144,arrivetime_27
145,arrivetime_28
146,arrivetime_29
147,arrivetime_30
148,arrivetime_31
149,arrivetime_32
150,arrivetime_33
151,arrivetime_34
152,arrivetime_35
153,arrivetime_36
154,arrivetime_37
155,arrivetime_38
156,arrivetime_39
157,arrivetime_40
158,arrivetime_41
159,arrivetime_42
160,arrivetime_43
161,arrivetime_44
162,arrivetime_45
163,arrivetime_46
164,arrivetime_47
165,arrivetime_48
166,arrivetime_49
